Codi,Nom,Data,Precipitacio_mm
C6,Castellnou de Seana,2026-04-06,0.0
C7,Tàrrega,2026-04-06,0.0
C8,Cervera,2026-04-06,0.0
C9,Mas de Barberans,2026-04-06,0.0
CC,Orís,2026-04-06,0.0
CD,la Seu d'Urgell - Bellestar,2026-04-06,0.0
CE,els Hostalets de Pierola,2026-04-06,0.0
CG,Molló - Fabert,2026-04-06,0.0
CI,Sant Pau de Segúries,2026-04-06,0.0
CJ,Organyà,2026-04-06,0.0
CL,Sant Salvador de Guardiola,2026-04-06,0.0
CP,Sant Romà d'Abella,2026-04-06,0.0
CQ,Vilanova de Meià,2026-04-06,0.0
CR,la Quar,2026-04-06,0.0
CT,el Pont de Suert,2026-04-06,0.0
CW,l'Espluga de Francolí,2026-04-06,0.0
CY,Muntanyola,2026-04-06,0.0
D1,Margalef,2026-04-06,0.0
D2,Vacarisses,2026-04-06,0.1
D3,Vallirana,2026-04-06,0.0
D4,Roses,2026-04-06,0.0
D5,Barcelona - Observatori Fabra,2026-04-06,0.0
D6,Portbou - coll dels Belitres,2026-04-06,0.0
D7,Vinebre,2026-04-06,0.0
D8,Horta de Sant Joan,2026-04-06,0.0
D9,el Vendrell,2026-04-06,0.0
DB,el Perelló,2026-04-06,0.0
DF,la Bisbal d'Empordà,2026-04-06,0.0
DG,Núria (1.971 m),2026-04-06,0.0
DI,Font-rubí,2026-04-06,0.0
DJ,Banyoles,2026-04-06,0.0
DK,Torredembarra,2026-04-06,0.0
DL,Illa de Buda,2026-04-06,0.0
DN,Anglès,2026-04-06,0.0
DO,Castell d'Aro,2026-04-06,0.0
DP,Das - Aeròdrom,2026-04-06,0.0
DQ,Vila-rodona,2026-04-06,0.0
H1,Òdena,2026-04-06,0.0
J5,Pantà de Darnius - Boadella,2026-04-06,0.0
KE,Pantà de Sau,2026-04-06,0.0
KP,Fogars de la Selva,2026-04-06,0.0
KX,la Roca del Vallès - ETAP Cardedeu,2026-04-06,0.0
M6,Sant Joan de les Abadesses,2026-04-06,0.0
MQ,Cardona,2026-04-06,0.0
MR,Pantà de Siurana,2026-04-06,0.0
MS,Castellar de n'Hug - el Clot del Moro,2026-04-06,0.0
MV,Guixers - Valls,2026-04-06,0.0
MW,Navès,2026-04-06,0.0
U2,Sant Pere Pescador,2026-04-06,0.1
U3,Sant Martí Sarroca,2026-04-06,0.0
U4,Castellnou de Bages,2026-04-06,0.0
U6,Vinyols i els Arcs - Cambrils,2026-04-06,0.0
U7,Aldover,2026-04-06,0.0
U9,l'Aldea,2026-04-06,0.0
UA,l'Ametlla de Mar,2026-04-06,0.0
UB,la Tallada d'Empordà,2026-04-06,0.1
UE,Torroella de Montgrí,2026-04-06,0.1
UF,PN del Garraf - el Rascler,2026-04-06,0.0
UH,el Montmell,2026-04-06,0.0
UI,Gisclareny,2026-04-06,0.0
UJ,Santa Coloma de Queralt,2026-04-06,0.0
UK,Sant Pere de Ribes - PN del Garraf,2026-04-06,0.0
UM,la Granadella,2026-04-06,0.0
UN,Cassà de la Selva,2026-04-06,0.0
UO,Fornells de la Selva,2026-04-06,0.0
UP,Cabrils,2026-04-06,0.0
UQ,Dosrius - PN Montnegre Corredor,2026-04-06,0.0
US,les Cases d'Alcanar,2026-04-06,0.0
